,S&P
tickers,N/A
features,N/A
model,N/A
hist_depth,N/A
train_depth,N/A
start_date,2015-01-01
end_date,2019-12-01
allocation_builder,N/A
params,N/A
blacklist,set()
target,N/A
returns,"[-0.022981866057468655, 0.053595658517393216, -0.010532976495117358, 0.004568927571373827, 0.0028718996779891755, -0.022149544882412515, -0.0024060765155231615, -0.042036982911467, -0.01637687502993417, 0.07858323827163738, 0.0001837778887618851, -0.03583506652605361, -0.03026203534952428, 0.020954195512236044, 0.08399942584596337, 0.027025761308215823, 0.01043609195188532, 0.0035901643486992195, 0.04366951724041726, 0.005922911920423941, 0.0008569604351251044, -0.022760105911926114, 0.05375175260464569, 0.007386095966462276, 0.011531250574848615, 0.02801329926962359, -0.009835087482232958, 0.0022690212607672858, -0.0015849355294257148, 0.010277615664062796, 0.01427634075829158, -0.016774838097297726, 0.03681620207519108, 0.009307093611099524, 0.03404857047154819, 0.01438630401469717, 0.03887505982409885, -0.04176829422062723, -0.0020260299081762824, 0.009351533137335779, 0.020195591827177742, 0.004935859268966099, 0.036038709393428785, 0.016722078356925633, 0.0047401781083022485, -0.07684343900006907, 0.017734934908481142, -0.1164048741206643, 0.11825606560450787, 0.03564195367261136, -0.0007304758799108708, 0.024775678926549034, -0.08028510873788683, 0.0719144805647035, -0.004709318157959678, -0.03941256394071903, 0.04863955598488942, 0.00448353723749089, 0.023689063231768805, 0.038553115416217996]"
cumulative returns,"[1, 0.9770181339425313, 1.0293820642146159, 1.018539607127748, 1.0231932408212903, 1.0261317491601256, 1.0034033979268349, 1.000989132575487, 0.9589105695148471, 0.9432066109530195, 1.0173268408009242, 1.0175138029799073, 0.9810511281589446, 0.9513625242389079, 0.9712975605748244, 1.0528859979886944, 1.0813410436550996, 1.0926260182180318, 1.0965487251950996, 1.1444344786549647, 1.1512128632707346, 1.1521994071469648, 1.1259752266086414, 1.1864983684282688, 1.1952619592415308, 1.2090448243961294, 1.2429141588923276, 1.2306899894067156, 1.2334824511580929, 1.2315274609963291, 1.2441846269201884, 1.2619470306203289, 1.2407780734943072, 1.2864588097785399, 1.2984320023479723, 1.3426417558824304, 1.3619574083653818, 1.4149035840934605, 1.355805474899225, 1.35305857245741, 1.3657117445345017, 1.3932931014807033, 1.4001702001500334, 1.4506305270945792, 1.4748880844356032, 1.4818793166456408, 1.3680066137715174, 1.392268122021127, 1.2302013265350442, 1.3756800953125252, 1.4247120215379878, 1.4236713037704354, 1.458943726889593, 1.341812271133804, 1.4383080036277365, 1.4315345536295137, 1.3751141065012418, 1.44199904607002, 1.4484643024895014, 1.482777064940135, 1.539942740261293]"
total return,1.539942740261293
annualized return,1.090186788130621
return volatility,0.03818199410021343
max drawdown,0.1698370355018457
minimum,0.9432066109530195
